id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,pub_rec_bankruptcies
573354,737474,10000,10000,9950.0,0,322,311.11,0,3,3,30000.0,1,1,4,54,30,5.0,0,3,19,0,1450,1.2,48,2247.21,2235.98,1509.91,350.87,0.0,386.43,3.96,311.11,0.0
476321,603324,15000,15000,14800.0,0,340,476.58,0,4,3,147000.0,0,-1,9,257,10,3.47,0,0,6,0,4910,14.0,17,15112.76,14911.26,15000.0,112.76,0.0,0.0,0.0,15114.03,0.0
451484,556265,2000,2000,2000.0,0,101,67.94,2,12,2,36000.0,0,-1,6,267,10,7.83,0,0,8,0,1790,34.4,10,2354.9668269999997,2354.97,2000.0,354.97,0.0,0.0,0.0,101.78,0.0
800018,1005270,14000,14000,14000.0,1,210,351.64,3,19,0,50000.0,0,-1,2,289,9,21.24,1,1,9,1,553,9.4,27,20804.23002,20804.23,14000.0,6804.23,0.0,0.0,0.0,3943.27,0.0
471391,595223,12000,12000,11900.0,0,340,381.26,0,4,0,294000.0,0,-1,9,731,4,0.5,0,0,11,0,5306,2.8,21,12344.81177,12241.94,12000.0,344.81,0.0,0.0,0.0,11204.3,0.0
521762,674784,10000,6525,6480.473624,1,327,131.93,0,4,0,65000.0,0,-1,1,510,24,7.62,1,1,13,0,5629,19.1,23,7908.889997,7846.07,6525.0,1383.89,0.0,0.0,0.0,668.53,0.0
664532,849696,7800,7800,7800.0,1,147,185.2,3,16,0,94000.0,2,-1,9,401,22,12.96,0,1,11,0,2317,37.4,37,9864.289537,9864.29,7800.0,2064.29,0.0,0.0,0.0,58.59,0.0
973622,1195649,18825,18825,18825.0,0,328,589.04,0,3,3,42000.0,0,-1,2,760,36,22.74,0,0,7,0,22121,55.4,22,20958.52894,20958.53,18825.0,2133.53,0.0,0.0,0.0,239.16,0.0
453308,560296,2600,2600,2600.0,0,68,87.02,1,9,3,40792.0,0,-1,6,46,6,13.54,0,1,12,0,9847,24.1,14,3132.3938510000003,3132.39,2600.0,532.39,0.0,0.0,0.0,94.26,0.0
538104,695018,20000,20000,19725.0,1,102,461.34,2,11,0,100000.0,2,-1,2,55,30,12.98,0,1,15,0,20984,27.5,20,27679.645760000003,27299.05,20000.0,7679.65,0.0,0.0,0.0,513.18,0.0
507498,654548,10000,10000,10000.0,0,76,335.67,2,10,0,160000.0,0,-1,11,158,37,5.63,0,1,17,0,8138,56.6,28,11390.62514,11390.63,10000.0,1390.63,0.0,0.0,0.0,6373.34,0.0
1053301,1284880,18650,18650,18650.0,0,358,601.0,1,5,0,50000.0,2,-1,2,473,14,21.31,0,1,7,0,23159,81.5,26,21635.81001,21635.81,18650.0,2985.81,0.0,0.0,0.0,615.84,0.0
430012,509698,21600,21600,21100.0,0,33,709.85,1,6,3,90000.0,2,1,2,707,4,7.91,0,1,7,0,16249,72.5,28,4962.3,4847.36,3646.48,1315.82,0.0,0.0,0.0,709.85,0.0
702088,893938,12000,12000,12000.0,0,311,370.09,0,2,0,75000.0,0,-1,11,445,23,8.02,0,0,8,0,12079,31.7,26,13248.62625,13248.63,12000.0,1248.63,0.0,0.0,0.0,3263.6,0.0
831452,1040676,35000,35000,2525.003919,1,175,850.95,3,16,0,51996.0,2,1,4,118,37,5.54,0,0,5,0,2864,12.7,7,5952.8,426.02,2800.25,3152.55,0.0,0.0,0.0,850.95,0.0
434074,517582,15600,15600,15243.60028,0,68,522.08,1,9,0,84996.0,2,1,2,677,3,9.05,0,0,9,0,5760,22.5,12,12887.72,12538.86,9267.03,2718.5,0.0,902.19,165.8442,522.08,0.0
577704,742851,4800,4800,4800.0,0,50,159.11,1,9,3,33600.0,0,-1,2,279,9,19.93,0,0,5,0,1492,27.1,8,5713.170440999999,5713.17,4800.0,913.17,0.0,0.0,0.0,801.94,0.0
650699,832367,2100,2100,2100.0,0,203,75.02,4,22,3,60000.0,1,1,2,741,4,3.42,0,1,3,0,7229,97.7,7,1185.16,1185.16,744.97,378.03,14.97818711,47.18,0.55,75.02,0.0
812407,1019563,11200,11200,11200.0,1,284,307.68,5,29,3,67000.0,1,1,2,68,33,6.3,1,2,12,1,7952,39.6,25,815.31,815.31,210.87,402.83,0.0,201.61,70.86,307.68,1.0
523503,677326,14000,12700,12413.59181,0,20,414.28,1,6,3,72150.0,0,-1,2,48,30,20.81,0,0,22,0,32711,49.7,44,14914.804830000001,14569.27,12700.0,2214.81,0.0,0.0,0.0,457.3,0.0
429637,509138,5000,5000,4850.0,0,124,171.53,2,14,2,50004.0,0,-1,2,68,33,18.57,0,2,14,0,10883,27.2,17,6024.591303,5843.85,5000.0,1024.59,0.0,0.0,0.0,22.76,0.0
741085,938902,3500,3500,3500.0,0,312,108.06,0,2,2,49000.0,0,-1,13,238,27,20.18,0,1,8,0,4028,30.5,15,3881.139035,3881.14,3500.0,381.14,0.0,0.0,0.0,644.89,0.0
586074,752959,20000,20000,19810.41991,1,265,535.8,6,31,0,93000.0,2,1,11,428,47,11.39,2,0,9,0,16044,87.7,25,25120.75,24652.03,12949.3,11127.81,0.0,1043.64,10.0975,535.8,0.0
872482,1086681,14000,14000,13722.14409,1,83,318.48,2,10,0,66996.0,2,-1,2,670,3,21.8,0,0,6,0,25735,82.0,17,18896.830019999998,18419.9,14000.0,4896.83,0.0,0.0,0.0,3609.79,0.0
1053763,1285365,35000,21350,21325.0,1,271,576.27,5,25,0,71316.0,2,1,2,240,27,14.79,1,1,13,0,18651,75.5,23,1151.2,1149.86,412.29,738.91,0.0,0.0,0.0,576.27,0.0
444605,542259,5000,5000,5000.0,0,101,169.85,2,12,3,27396.0,0,-1,7,662,43,21.42,0,1,11,0,8817,76.0,12,6116.141855,6116.14,5000.0,1116.14,0.0,0.0,0.0,186.79,0.0
798517,1003644,2400,2400,2400.0,0,321,74.65,0,3,2,24000.0,0,-1,7,715,4,1.6,0,0,3,0,130,1.1,8,2515.507737,2515.51,2400.0,115.51,0.0,0.0,0.0,201.99,0.0
738285,935630,14000,14000,14000.0,1,245,365.95,5,28,0,61000.0,0,-1,2,488,14,18.18,2,3,5,0,9269,94.6,28,19338.282430000003,19338.28,14000.0,5338.28,0.0,0.0,0.0,9463.12,0.0
575543,740274,7500,7500,7500.0,0,145,259.41,3,15,3,43260.0,0,-1,8,300,9,23.86,0,3,23,0,6015,85.9,33,9416.29763,9416.3,7500.0,1871.3,44.99999993,0.0,0.0,530.87,0.0
1046031,1276661,25000,25000,25000.0,0,174,878.44,2,14,3,110000.0,2,-1,2,733,4,8.21,0,1,11,0,21296,75.3,33,31623.493469999998,31623.49,25000.01,6623.48,0.0,0.0,0.0,918.81,0.0
746693,945486,3000,3000,3000.0,0,99,101.8,2,11,3,85000.0,1,-1,1,184,44,18.97,0,0,8,0,8610,88.8,12,3661.044821,3661.04,3000.0,661.04,0.0,0.0,0.0,314.38,0.0
495471,634654,14000,14000,13975.0,0,15,455.84,1,7,3,95000.0,0,-1,0,184,44,1.28,0,0,5,0,2085,53.5,8,16436.13767,16406.79,14000.0,2414.81,21.33000005,0.0,0.0,35.27,0.0
363763,373866,1200,1200,1085.57,0,22,39.19,1,7,0,40000.0,0,-1,2,511,24,6.59,0,0,6,0,1262,42.1,13,1425.972978,1282.31,1200.0,210.97,15.0,0.0,0.0,41.96,0.0
1042746,1273032,15600,15600,15600.0,1,248,408.29,4,22,2,55000.0,1,1,2,262,10,22.78,0,0,13,0,10078,73.0,34,16411.59,16411.59,8656.94,7654.06,59.74781626,40.84,7.351199997,408.29,0.0
642441,822290,5000,5000,5000.0,1,193,123.44,4,22,0,66000.0,1,-1,2,174,20,12.84,0,1,7,0,117958,87.0,23,6182.4201299999995,6182.42,5000.0,1182.42,0.0,0.0,0.0,3966.74,0.0
626835,793790,5000,5000,5000.0,0,70,167.54,2,11,0,45000.0,2,-1,2,89,33,10.75,0,3,7,0,6211,68.3,39,5085.12094,5085.12,5000.0,85.12,0.0,0.0,0.0,3086.08,0.0
813706,1021175,16000,16000,16000.0,0,26,523.75,1,7,3,83000.0,1,-1,2,182,44,12.2,0,0,11,0,19393,61.0,14,18854.73307,18854.73,16000.0,2854.73,0.0,0.0,0.0,542.75,0.0
636820,815770,14500,14500,14294.465869999998,1,360,308.02,1,8,3,38400.0,1,-1,2,634,5,15.44,0,1,7,0,8676,71.7,18,18315.29999,18006.84,14500.0,3815.3,0.0,0.0,0.0,3843.6,0.0
350262,352252,1000,1000,270.93,0,317,31.05,0,0,3,34000.0,0,-1,8,648,5,0.35,0,1,5,0,102,0.3,16,1117.6642550000001,279.31,1000.0,117.67,0.0,0.0,0.0,30.92,0.0
684976,874503,10000,10000,10000.0,1,203,249.28,4,22,3,55000.0,2,-1,2,697,4,16.04,0,0,7,0,8108,49.0,11,12090.13806,12090.14,10000.0,2090.14,0.0,0.0,0.0,8359.41,0.0
789544,993472,5000,5000,5000.0,0,54,166.05,1,9,2,41000.0,0,-1,2,72,33,22.24,0,1,12,0,13213,75.6,35,5739.71482,5739.71,5000.0,739.71,0.0,0.0,0.0,2751.57,0.0
718070,912234,11200,11200,11200.0,1,120,261.6,2,14,2,25800.0,2,-1,2,594,42,17.77,0,3,10,0,4655,43.5,19,15588.83001,15588.83,11200.0,4388.83,0.0,0.0,0.0,1968.92,0.0
