ACRS Report Type,Route Type,Cross-Street Type,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Injury Severity,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Equipment Problems,Latitude,Longitude,Fault
1,3,0,15,2,10,4,1,8,3,0,12,12,19,9,2,3,40,0,0,2005,4,39.26337833,-77.34420333,1
1,0,0,16,2,0,4,6,8,1,1,12,12,18,0,2,2,25,0,1,2018,4,39.06891333,-77.06322667,1
2,3,3,13,2,0,7,2,8,1,5,9,9,26,13,4,4,35,0,0,2016,4,38.99357833,-77.03271833,0
1,0,0,7,3,0,4,1,8,2,2,12,13,18,9,2,2,25,0,0,2001,5,39.08348,-77.08693333,1
1,3,0,9,2,0,4,7,8,3,1,9,9,18,17,2,2,40,0,0,2013,4,38.99694167,-77.10916833,0
2,0,0,15,5,0,1,9,0,1,0,12,9,0,16,4,4,35,0,0,2015,4,39.03694167,-77.13822833,1
2,3,4,0,2,0,4,1,8,1,2,10,10,18,9,1,1,40,1,0,2004,7,39.061628000000006,-77.12369483,0
1,0,5,16,2,0,4,7,8,2,0,3,3,0,6,0,1,40,0,0,2014,4,39.23461470000001,-77.281175,1
2,3,0,9,2,0,4,7,8,1,1,12,12,18,17,1,2,40,0,0,2003,4,39.00688551,-76.9803375,1
2,3,0,7,2,0,4,1,8,1,2,12,12,18,1,4,2,40,0,0,2012,4,39.05789167,-77.04824667,1
1,0,6,16,2,0,4,7,8,1,1,12,12,29,19,1,1,35,0,0,2004,7,39.082761,-76.948052,0
1,3,0,9,2,2,1,1,8,1,5,12,12,18,17,1,1,0,0,0,2006,4,39.053635,-77.05053667,1
2,0,5,12,2,0,4,1,8,1,1,12,12,14,9,2,2,30,0,0,2012,4,39.16427833,-77.27277167,0
2,3,8,4,2,0,4,7,8,1,1,12,12,19,18,0,0,30,0,0,2002,4,39.11687833,-77.25105500000002,0
2,3,8,7,2,4,4,1,8,1,1,9,1,18,20,0,0,35,0,0,2016,4,39.13989886,-77.13384435,0
1,3,0,9,2,0,0,1,8,1,5,12,12,3,17,2,2,10,0,0,1997,4,39.090405,-77.053655,1
1,3,3,9,2,0,4,10,8,3,5,9,9,18,17,1,4,40,0,0,2014,4,39.05802167,-77.04859667,0
0,0,8,7,2,10,1,1,8,1,1,15,15,18,9,3,3,40,0,0,0,4,39.230205,-77.25235500000002,1
1,3,0,9,2,0,4,7,8,1,0,12,12,0,9,2,2,40,0,0,2007,4,39.01573667,-76.977835,1
2,0,0,17,2,0,4,1,10,1,6,15,15,18,21,3,3,25,0,0,0,7,39.00819129,-77.12505475,1
2,3,0,9,2,0,0,7,8,1,2,12,12,15,17,1,1,35,0,0,2011,7,39.10644529,-77.15827256,1
1,3,3,4,2,0,4,7,8,1,2,12,12,0,6,2,4,35,0,0,2017,4,38.973007,-77.12204983,1
2,0,0,4,2,0,1,7,8,1,2,12,12,18,8,1,2,35,0,0,2009,1,39.17290167,-77.20397167,1
2,3,0,16,2,0,4,1,8,1,1,11,11,18,9,1,1,45,0,0,1982,4,39.12242833,-76.98867833,0
1,3,0,14,2,0,1,10,8,1,1,12,12,17,18,0,0,40,0,0,2015,4,39.22819833,-77.28931833,1
2,3,0,14,2,0,5,7,8,1,5,2,2,18,6,2,2,40,0,0,2007,4,39.00005088,-77.10962534,0
2,3,0,4,6,10,4,7,8,1,1,12,12,18,9,3,0,50,0,0,2009,0,39.09607000000001,-77.11001999999998,0
2,0,3,3,2,0,1,1,0,1,5,2,12,19,19,3,0,35,0,0,2003,4,39.15746834,-77.19197508,1
2,3,0,14,2,0,4,1,8,1,3,15,15,12,5,1,1,35,0,0,2016,4,38.99694183,-77.09652275,1
2,9,0,9,2,0,1,3,8,1,5,9,9,17,20,2,2,55,0,0,2016,4,39.09592167,-76.93789833,0
1,3,3,9,2,0,1,7,8,1,5,9,9,18,20,1,1,35,0,0,2014,4,38.98786195,-77.07709283,0
2,3,3,9,3,0,4,7,10,1,1,12,12,18,17,0,0,55,0,0,0,7,39.00017907,-76.99554026,1
1,6,3,9,2,0,4,7,8,2,5,9,9,18,20,2,0,55,0,0,2009,4,39.01716667,-76.97718167,0
2,2,8,9,2,0,4,1,8,1,5,12,12,26,9,4,4,55,0,0,2016,4,39.01654959,-77.09893942,0
2,0,0,8,2,0,4,7,8,1,5,8,8,0,0,0,0,35,0,0,2018,4,39.05485,-77.10659,1
2,4,4,7,2,0,4,1,2,1,6,15,15,18,9,1,1,0,0,0,0,7,38.9826,-77.08429167,1
2,0,0,9,3,10,4,1,8,1,2,9,9,0,17,1,2,30,0,0,2007,4,39.02612167,-77.13283167,0
